unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives
1,AppEngine,1,AppEngine Overview,yes,Questions,https://docs.google.com/presentation/d/1SzS6vb0Hqm2s5Ct7PkKh15BY47x9MU4rTJ9spM7xjxM,x60d7zCH1H0,"<ul><li>In this lesson you will learn why a developer might choose AppEngine as a service.</li></ul>"
1,AppEngine,2,Lab: AppEngine install,,,https://docs.google.com/presentation/d/1SzS6vb0Hqm2s5Ct7PkKh15BY47x9MU4rTJ9spM7xjxM,0mzggA5G57I,"<ul><li>The lab specification is <a href='https://docs.google.com/document/d/1lzetitdvee5NLJLwa4P88GincZQbNGJcy52RHe9Yc0E' target='_blank'>here</a>.</li><li>This lab is a bit different: no code or video demo needed - you'll submit a link to a running backend, per the lab instructions.</li><li>Then go complete the Moodle 'AppEngine' self-evaluation survey before calling it a day.</li></ul>"
2,EndpointsBackend,1,Endpoints Overview,,,https://docs.google.com/presentation/d/1FjzwS8xLvCmtznYU3asEqwiSJA6KEq0X9GbWPntM2H8,9eezD6XW0K4,"<ul><li>In this lesson you will what Endpoints is and get an overview of the process of creating an Endpoints API.</li></ul>"
2,EndpointsBackend,2,The Road to Learning Endpoints,,,https://docs.google.com/presentation/d/1FjzwS8xLvCmtznYU3asEqwiSJA6KEq0X9GbWPntM2H8,UoNVZrP46kw,"<ul><li>In this lesson you will get a high-level overview of the next 2 units.</li><li>Link to the <a href='https://docs.google.com/file/d/0B0fYpl3FdcbZUjIwYkt2aUhheVU' target='_blank'>summary</a>. </li></ul>"
2,EndpointsBackend,3,Setup,yes,Questions,https://docs.google.com/presentation/d/1FjzwS8xLvCmtznYU3asEqwiSJA6KEq0X9GbWPntM2H8,clms0SvmeHA,"<ul><li>In this lesson, you will register your app ID, set up your project using App Engine Launcher and Eclipse, and run and deploy the starting code.</li><li>Link to <a href='https://docs.google.com/document/d/1mgcc4fBaMCpo2-nJFjsWjNWsj239mpa-LDEN7p7MWoE' target='_blank'>instructions doc</a>. </li></ul>"
2,EndpointsBackend,4,Backend Model,yes,Questions,https://docs.google.com/presentation/d/1FjzwS8xLvCmtznYU3asEqwiSJA6KEq0X9GbWPntM2H8,BnKindG0L-g,"<ul><li>In this lesson, we'll set up the MovieQuotes model object.</li><li>Link to <a href='https://docs.google.com/document/d/1mgcc4fBaMCpo2-nJFjsWjNWsj239mpa-LDEN7p7MWoE' target='_blank'>instructions doc</a>. </li></ul>"
2,EndpointsBackend,5,MovieQuotes Web App,yes,Questions,https://docs.google.com/presentation/d/1FjzwS8xLvCmtznYU3asEqwiSJA6KEq0X9GbWPntM2H8,8Q5MRtu_-mo,"<ul><li>In this lesson, we'll test our model using a simple web app we give you.</li><li>Link to <a href='https://docs.google.com/document/d/1mgcc4fBaMCpo2-nJFjsWjNWsj239mpa-LDEN7p7MWoE' target='_blank'>instructions doc</a>. </li></ul>"
2,EndpointsBackend,6,Endpoints API: Create,yes,Questions,https://docs.google.com/presentation/d/1FjzwS8xLvCmtznYU3asEqwiSJA6KEq0X9GbWPntM2H8,r_tMJcqnNUY,"<ul><li>In this lesson, you will learn how to add a model object to the ndb datastore. </li><li>In the video we'll add the <b>hostname</b> field to the annotation.</li></ul><div style='text-align: center; font: bold 18px Arial; color: red;'>DO NOT ADD THE HOSTNAME FIELD!</div><ul><li>When the video was made it was fine to add hostname='blah', but now you should not have the hostname field at all (just leave it out).  There have been changes to Endpoints since the video was made.  If you do what the video does then it won't let you do localhost API Explorer testing, which we'll need later!</li><li>Link to <a href='https://docs.google.com/document/d/1mgcc4fBaMCpo2-nJFjsWjNWsj239mpa-LDEN7p7MWoE' target='_blank'>instructions doc</a>. </li></ul>"
2,EndpointsBackend,7,Endpoints API: Read,yes,Questions,https://docs.google.com/presentation/d/1FjzwS8xLvCmtznYU3asEqwiSJA6KEq0X9GbWPntM2H8,ewaKFNSAvq4,"<ul><li>In this lesson, you will learn how to write simple query for an EndpointsModel.</li><li>Link to <a href='https://docs.google.com/document/d/1mgcc4fBaMCpo2-nJFjsWjNWsj239mpa-LDEN7p7MWoE' target='_blank'>instructions doc</a>. </li></ul>"
2,EndpointsBackend,8,Endpoints API: Update,yes,Questions,https://docs.google.com/presentation/d/1FjzwS8xLvCmtznYU3asEqwiSJA6KEq0X9GbWPntM2H8,D3LqswTqaf0,"<ul><li>In this lesson, </li><li>Link to <a href='https://docs.google.com/document/d/1mgcc4fBaMCpo2-nJFjsWjNWsj239mpa-LDEN7p7MWoE' target='_blank'>instructions doc</a>. </li></ul>"
2,EndpointsBackend,9,Endpoints API: Delete,yes,Questions,https://docs.google.com/presentation/d/1FjzwS8xLvCmtznYU3asEqwiSJA6KEq0X9GbWPntM2H8,t7QEL7MQ1zk,"<ul><li>In this lesson, you will learn how to remove objects from the datastore. </li><li>Link to <a href='https://docs.google.com/document/d/1mgcc4fBaMCpo2-nJFjsWjNWsj239mpa-LDEN7p7MWoE' target='_blank'>instructions doc</a>. </li></ul>"
2,EndpointsBackend,10,Deploying to App Engine,yes,Questions,https://docs.google.com/presentation/d/1FjzwS8xLvCmtznYU3asEqwiSJA6KEq0X9GbWPntM2H8,PFGPaUYQzEg,"<ul><li>In this lesson, we'll deploy our app to App Engine and test the API of the live version. This is the last step before working on the client.</li><li>Link to <a href='https://docs.google.com/document/d/1mgcc4fBaMCpo2-nJFjsWjNWsj239mpa-LDEN7p7MWoE' target='_blank'>instructions doc</a>. </li></ul>"
2,EndpointsBackend,11,Troubleshooting and Viewing Data,yes,Questions,https://docs.google.com/presentation/d/1FjzwS8xLvCmtznYU3asEqwiSJA6KEq0X9GbWPntM2H8,pRXZr6O3lto,"<ul><li>In this lesson, we'll see where to find the datastore and the logs when testing online. </li><li>Link to <a href='https://docs.google.com/document/d/1mgcc4fBaMCpo2-nJFjsWjNWsj239mpa-LDEN7p7MWoE' target='_blank'>instructions doc</a>. </li></ul>"
2,EndpointsBackend,12,Lab: WeatherpicsBackend,,,https://docs.google.com/presentation/d/1FjzwS8xLvCmtznYU3asEqwiSJA6KEq0X9GbWPntM2H8,XDSYoMPPfWI,"<ul><li>Here is the <a href='https://docs.google.com/document/d/1_aANt_3DM2uGvDhllatRiZUK9bzKiwYoarOL_P2N1zU' target='_blank'>lab specification</a>.</li><li>When done, be sure to submit your zipped Eclipse project (Weatherpics Backend), plus video demo, to the Moodle dropbox.</li><li>We'll wait until after we write the Android client to complete the 'Endpoints' self-evaluation survey.</li></ul>"
3,EndpointsAndroidClient,1,Overview,,,https://docs.google.com/presentation/d/1Dkvkp_KbjmpNjYR5IwHPJ5Tabc31AANur7_Q6CSP3jQ,4-R9MqBymO8,"<ul><li>In this lesson you will survey how to write an Android client that connects to an Endpoints backend.</li></ul>"
3,EndpointsAndroidClient,2,Setup,,,https://docs.google.com/presentation/d/1Dkvkp_KbjmpNjYR5IwHPJ5Tabc31AANur7_Q6CSP3jQ,ZWoC_sPr5EA,"<ul><li>In this lesson you will download your app in preparation for adding Endpoints code.</li><li>Link to <a href='https://docs.google.com/document/d/16Ue-XKXmuAxnofi9ryxUzFcoPW9u11kmAyyN-xsOVrI' target='_blank'>instructions doc</a>. </li></ul>"
3,EndpointsAndroidClient,3,Generating Android Client Code,yes,Questions,https://docs.google.com/presentation/d/1Dkvkp_KbjmpNjYR5IwHPJ5Tabc31AANur7_Q6CSP3jQ,kZZL5iDcMn0,"<ul><li>In this lesson, you'll learn how to generate code for an Android client using Windows. If you need help doing this on a Mac, please see the instructions doc.</li><li>Link to <a href='https://docs.google.com/document/d/16Ue-XKXmuAxnofi9ryxUzFcoPW9u11kmAyyN-xsOVrI' target='_blank'>instructions doc</a>. </li></ul>"
3,EndpointsAndroidClient,4,Creating a Service Object,yes,Questions,https://docs.google.com/presentation/d/1Dkvkp_KbjmpNjYR5IwHPJ5Tabc31AANur7_Q6CSP3jQ,IVC7lkdWEIg,"<ul><li>In this lesson, you will create a Service object to connect to the backend.</li><li>Link to <a href='https://docs.google.com/document/d/16Ue-XKXmuAxnofi9ryxUzFcoPW9u11kmAyyN-xsOVrI' target='_blank'>instructions doc</a>. </li></ul>"
3,EndpointsAndroidClient,5,Async Tasks,yes,Questions,https://docs.google.com/presentation/d/1Dkvkp_KbjmpNjYR5IwHPJ5Tabc31AANur7_Q6CSP3jQ,qka_6iOxMC0,"<ul><li>In this lesson, you will learn the basics of using AsyncTasks to do work off the main UI thread.</li><li>Link to <a href='https://docs.google.com/document/d/16Ue-XKXmuAxnofi9ryxUzFcoPW9u11kmAyyN-xsOVrI' target='_blank'>instructions doc</a>. </li></ul>"
3,EndpointsAndroidClient,6,Read All Movie Quotes,yes,Questions,https://docs.google.com/presentation/d/1Dkvkp_KbjmpNjYR5IwHPJ5Tabc31AANur7_Q6CSP3jQ,uSQtWjiRShY,"<ul><li>In this lesson, you will learn how to use an AsynchTask to read all movie quotes fom the server. </li><li>Link to <a href='https://docs.google.com/document/d/16Ue-XKXmuAxnofi9ryxUzFcoPW9u11kmAyyN-xsOVrI' target='_blank'>instructions doc</a>. </li></ul>"
3,EndpointsAndroidClient,7,Inserting a Quote,yes,Questions,https://docs.google.com/presentation/d/1Dkvkp_KbjmpNjYR5IwHPJ5Tabc31AANur7_Q6CSP3jQ,HBD9rM0r4Hc,"<ul><li>In this lesson, you'll learn how to insert a quote to the backend using an AsynchTask.</li><li>Link to <a href='https://docs.google.com/document/d/16Ue-XKXmuAxnofi9ryxUzFcoPW9u11kmAyyN-xsOVrI' target='_blank'>instructions doc</a>. </li></ul>"
3,EndpointsAndroidClient,8,Editing a Quote,yes,Questions,https://docs.google.com/presentation/d/1Dkvkp_KbjmpNjYR5IwHPJ5Tabc31AANur7_Q6CSP3jQ,Ja-X8zR1T1g,"<ul><li>In this lesson, you'll learn that it's easy to edit a quote from the client.</li><li>Link to <a href='https://docs.google.com/document/d/16Ue-XKXmuAxnofi9ryxUzFcoPW9u11kmAyyN-xsOVrI' target='_blank'>instructions doc</a>. </li></ul>"
3,EndpointsAndroidClient,9,Deleting a Quote,yes,Questions,https://docs.google.com/presentation/d/1Dkvkp_KbjmpNjYR5IwHPJ5Tabc31AANur7_Q6CSP3jQ,Q4ij5mF9HzU,"<ul><li>In this lesson, you'll learn how to delete a quote from the backend using the quote's entity key.</li><li>Link to <a href='https://docs.google.com/document/d/16Ue-XKXmuAxnofi9ryxUzFcoPW9u11kmAyyN-xsOVrI' target='_blank'>instructions doc</a>. </li></ul>"
3,EndpointsAndroidClient,10,Lab: WeatherpicsAndroidClient,,,https://docs.google.com/presentation/d/1Dkvkp_KbjmpNjYR5IwHPJ5Tabc31AANur7_Q6CSP3jQ,u25p3VSm9P4,"<ul><li>Here is the <a href='https://docs.google.com/document/d/1kRjcAb839ONp1nhKxAaAWrQxio9JrD7OJRuPdofHFKY' target='_blank'>lab specification</a>.</li><li>When done, be sure to submit your zipped Eclipse project (Weatherpics), plus video demo, to the Moodle dropbox.</li><li>Then go complete the Moodle 'Endpoints' self-evaluation survey before calling it a day.</li></ul>"
4,OAuthBackend,1,OAuth Overview,yes,Questions,https://docs.google.com/presentation/d/17xT5oWnnHasgv3vfhVHNR9nIVTi4fOyk83DH7Y1-xKs,g_TJZL0bTYc,"<ul><li>In this lesson you will see a demo of this lesson's app, and learn how this app is more complex than ones in previous units.</li></ul>"
4,OAuthBackend,2,DownloadStartingCode,yes,Questions,https://docs.google.com/presentation/d/17xT5oWnnHasgv3vfhVHNR9nIVTi4fOyk83DH7Y1-xKs,Im0i3vF7Dh8,"<ul><li>In this lesson, you will register your app ID and download the starting code.</li><li>Link to <a href='https://docs.google.com/document/d/12o1Ak3vRXfXS1uWRcvvsMlPkFNvJR9DK9dAmGWf2I5o' target='_blank'>instructions doc</a>. </li></ul>"
4,OAuthBackend,3,Make Endpoints-ready Models,yes,Questions,https://docs.google.com/presentation/d/17xT5oWnnHasgv3vfhVHNR9nIVTi4fOyk83DH7Y1-xKs,bscA5ck3cS8,"<ul><li>In this lesson, we'll modify the given model classes to make them ready for Endpoints.</li><li>Link to <a href='https://docs.google.com/document/d/12o1Ak3vRXfXS1uWRcvvsMlPkFNvJR9DK9dAmGWf2I5o' target='_blank'>instructions doc</a>. </li></ul>"
4,OAuthBackend,4,APIClass,yes,Questions,https://docs.google.com/presentation/d/17xT5oWnnHasgv3vfhVHNR9nIVTi4fOyk83DH7Y1-xKs,Vsm2Mcq5kXc,"<ul><li>In this lesson, we'll start to write the API, focusing on those things that are required to use OAuth.</li><li>At around three minutes into the video we'll add the <b>hostname</b> field to the annotation.</li></ul><div style='text-align: center; font: bold 18px Arial; color: red;'>DO NOT ADD THE HOSTNAME FIELD!</div><ul><li>When the video was made it was fine to add hostname='blah', but now you should not have the hostname field at all (just leave it out).  There have been changes to Endpoints since the video was made.  If you do what the video does then it won't let you do localhost API Explorer testing, which we'll need later!</li><li>Link to <a href='https://docs.google.com/document/d/12o1Ak3vRXfXS1uWRcvvsMlPkFNvJR9DK9dAmGWf2I5o' target='_blank'>instructions doc</a>. </li></ul>"
4,OAuthBackend,5,GetWebClientID,yes,Questions,https://docs.google.com/presentation/d/17xT5oWnnHasgv3vfhVHNR9nIVTi4fOyk83DH7Y1-xKs,9tcqIosycjA,"<ul><li>In this lesson, you will learn how to generate a client ID for your web app.</li><li>Link to <a href='https://docs.google.com/document/d/12o1Ak3vRXfXS1uWRcvvsMlPkFNvJR9DK9dAmGWf2I5o' target='_blank'>instructions doc</a>. </li></ul>"
4,OAuthBackend,6,ListMethods,yes,Questions,https://docs.google.com/presentation/d/17xT5oWnnHasgv3vfhVHNR9nIVTi4fOyk83DH7Y1-xKs,WIElgnq8LgU,"<ul><li>In this lesson, you will learn how to change the annotation for a method to require an authenticated user.</li><li>You'll also learn how to write an ancestor query (to get all records with the same parent key).</li><li>Link to <a href='https://docs.google.com/document/d/12o1Ak3vRXfXS1uWRcvvsMlPkFNvJR9DK9dAmGWf2I5o' target='_blank'>instructions doc</a>. </li></ul>"
4,OAuthBackend,7,InsertMethods,yes,Questions,https://docs.google.com/presentation/d/17xT5oWnnHasgv3vfhVHNR9nIVTi4fOyk83DH7Y1-xKs,LUTva2dinUU,"<ul><li>In this lesson, we'll write the two needed insert methods. </li><li>Link to <a href='https://docs.google.com/document/d/12o1Ak3vRXfXS1uWRcvvsMlPkFNvJR9DK9dAmGWf2I5o' target='_blank'>instructions doc</a>. </li></ul>"
4,OAuthBackend,8,DeleteMethods,yes,Questions,https://docs.google.com/presentation/d/17xT5oWnnHasgv3vfhVHNR9nIVTi4fOyk83DH7Y1-xKs,0PffywYS46I,"<ul><li>In this lesson, we'll write the two needed delete methods</li><li>Link to <a href='https://docs.google.com/document/d/12o1Ak3vRXfXS1uWRcvvsMlPkFNvJR9DK9dAmGWf2I5o' target='_blank'>instructions doc</a>. </li></ul>"
4,OAuthBackend,9,Deploying to App Engine and Test,yes,Questions,https://docs.google.com/presentation/d/17xT5oWnnHasgv3vfhVHNR9nIVTi4fOyk83DH7Y1-xKs,7oR2M0MQYrA,"<ul><li>In this lesson, we'll deploy our app to App Engine and test the API of the live version. This is the last step before working on the client.</li><li>Link to <a href='https://docs.google.com/document/d/12o1Ak3vRXfXS1uWRcvvsMlPkFNvJR9DK9dAmGWf2I5o' target='_blank'>instructions doc</a>. </li></ul>"
4,OAuthBackend,10,Summary and Troubleshooting,,,https://docs.google.com/presentation/d/17xT5oWnnHasgv3vfhVHNR9nIVTi4fOyk83DH7Y1-xKs,tOVXw45Ef40,"<ul><li>There is no lab in this unit. If you want to use OAuth in your project, you are ready!</li><li>We'll wait until after we write the Android client to complete the 'OAuth' self-evaluation survey.</li></ul>"
5,OAuthAndroidClient,1,OAuth Android Client,,,https://docs.google.com/presentation/d/1BozZbfqMDWg5iTpsrThR1Yhn2b9rYAFe8mBTd_bf9Jc,N0GTfemQtsI,"<ul><li>In this lesson you will survey how to write an Android client that connects to an Endpoints backend using authentication.</li></ul>"
5,OAuthAndroidClient,2,Get Android Client ID,yes,Questions,https://docs.google.com/presentation/d/1BozZbfqMDWg5iTpsrThR1Yhn2b9rYAFe8mBTd_bf9Jc,dw0d6PrWjlo,"<ul><li>In this lesson you will download your app in preparation for adding Endpoints code.</li><li>Link to <a href='https://docs.google.com/document/d/1f5wsT4Ysogvur7F91Q36aMpuJESgaGmtY5vp3XgDo50' target='_blank'>instructions doc</a>. </li></ul>"
5,OAuthAndroidClient,3,Starting Code,yes,Questions,https://docs.google.com/presentation/d/1BozZbfqMDWg5iTpsrThR1Yhn2b9rYAFe8mBTd_bf9Jc,8B5hlejev1A,"<ul><li>In this lesson, you'll learn how to generate code for an Android client using Windows. If you need help doing this on a Mac, please see the instructions doc.</li><li>Link to <a href='https://docs.google.com/document/d/1f5wsT4Ysogvur7F91Q36aMpuJESgaGmtY5vp3XgDo50' target='_blank'>instructions doc</a>. </li></ul>"
5,OAuthAndroidClient,4,Add Google Play for Authentication,yes,Questions,https://docs.google.com/presentation/d/1BozZbfqMDWg5iTpsrThR1Yhn2b9rYAFe8mBTd_bf9Jc,Zz7yir_tXmM,"<ul><li>In this lesson, you will learn how to add external libraries, specifically Google Play.</li><li>Link to <a href='https://docs.google.com/document/d/1f5wsT4Ysogvur7F91Q36aMpuJESgaGmtY5vp3XgDo50' target='_blank'>instructions doc</a>. </li></ul>"
5,OAuthAndroidClient,5,Generate and Use ClientCode,yes,Questions,https://docs.google.com/presentation/d/1BozZbfqMDWg5iTpsrThR1Yhn2b9rYAFe8mBTd_bf9Jc,chHKUdRn9k0,"<ul><li>In this lesson, you will generate the client code and copy it into your project.</li><li>Link to <a href='https://docs.google.com/document/d/1f5wsT4Ysogvur7F91Q36aMpuJESgaGmtY5vp3XgDo50' target='_blank'>instructions doc</a>. </li></ul>"
5,OAuthAndroidClient,6,Summary and Troubleshooting,,,https://docs.google.com/presentation/d/1BozZbfqMDWg5iTpsrThR1Yhn2b9rYAFe8mBTd_bf9Jc,J-eNa8rwoag,"<ul><li>There is no lab in this unit. If you want to use OAuth in your project, you are ready!</li><li>Then go complete the Moodle 'OAuth' self-evaluation survey before calling it a day.</li></ul>"
