unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives
1,Box and Pointer Diagrams,1,Range statement,yes,Questions,https://github.com/CSSE120StartingCode/BoxAndPointerMutations,DJF8QXrTqXE,"<ul><li>Start this unit by making a <b>fork</b> of the <a target='_blank' href='https://github.com/CSSE120StartingCode/BoxAndPointerMutations'>starting code from here</a> and setting up a PyCharm project</li><li>Read <a target='_blank' href='assets/pdf/RangeExpressions.pdf'>this document about Python's range statement</a> (clicking the link will open a pdf in a new tab)</li><li>It extends the 1-argument form that you know to the 2 and 3-argument forms.</li></ul>"
1,Box and Pointer Diagrams,2,Box and Pointer Diagrams,yes,Questions,https://github.com/CSSE120StartingCode/BoxAndPointerMutations,OD3Kr_E6YQY,"<ul></li><li>In addition to the vidoe you can optionally read <a target='_blank' href='assets/pdf/BoxAndPointerDiagrams.pdf'>this document on Box-and-Pointer diagrams</a> (clicking the link will open a pdf in a new tab)</li><li>It covers the same material as the video, plus a little more.</li><li>During class we will provide you with a printed copy of <a target='_blank' href='assets/pdf/BoxAndPointerDiagrams-Exercise.pdf'>this handout</a> to work during class time.</li></ul>"
2,Implementing Classes,1,Class Concept,,,https://github.com/CSSE120StartingCode/ImplementingClasses,pxLc0fNU2XA,"<ul><li>Start this unit by making a <b>fork</b> of the <a target='_blank' href='https://github.com/CSSE120StartingCode/ImplementingClasses'>starting code from here</a> and setting up a PyCharm project</li><li>Next print a copy of <a target='_blank' href='assets/pdf/ImplementingClassesQuiz.pdf'>this pdf</a> to complete while you watch the videos for this unit.  There are no questions between videos.  Simply print the pdf and answer those questions while you watch the videos.</li><li>This video reviews the concepts of an <b>object</b> and a <b>class</b>.</li></ul>"
2,Implementing Classes,2,Class Notation,,,https://github.com/CSSE120StartingCode/ImplementingClasses,n8Jy9Lyz2Aw,"<ul><li>This video reviews the <b>notation of a class</b> in Python, as well as the concepts. It is important preparation for the next video.</li></ul>"
2,Implementing Classes,3,Class Implementation,,,https://github.com/CSSE120StartingCode/ImplementingClasses,97lOYPjhqAQ,"<ul><li>This is the new stuff (but the previous videos are super-important preparation without which this video will make no sense).</li><li>It shows all the basics of how to implement a class, using a Point class as an example.</li><li><span style='color:red;'> In your in-class on-the-computer exercises, you will do an extended example that starts where this video leaves off.</span></li></ul>"
3,More Implementing Classes,1,Key Concepts,,,https://github.com/CSSE120StartingCode/MoreImplementingClasses,DJF8QXrTqXE,"<ul><li>Start this unit by making a <b>fork</b> of the <a target='_blank' href='https://github.com/CSSE120StartingCode/MoreImplementingClasses'>starting code from here</a> and setting up a PyCharm project</li><li>Read <a target='_blank' href='assets/pdf/ImplementingClasses-KeyConcepts.pdf'>these slides to review Classes</a> (clicking the link will open a pdf in a new tab)</li><li>After reading that document close that tab and come back here to click Next Page</li></ul>"
3,More Implementing Classes,2,Line Class,,,https://github.com/CSSE120StartingCode/MoreImplementingClasses,RV07bAhbZYA,"<ul><li>If you didn't fork the project in the previous video do that now. <a target='_blank' href='https://github.com/CSSE120StartingCode/MoreImplementingClasses'>More Implementing Classes</a>, then set up a PyCharm project</li><li>This video is an introduction to the <b>More Implementing Classes</b> modules. It gives important information about how to implement the Line class.</li></ul>"
4,Sequences,1,Range expressions,yes,Questions,https://github.com/CSSE120StartingCode/Sequences,DJF8QXrTqXE,"<ul><li>Start this unit by making a <b>fork</b> of the <a target='_blank' href='https://github.com/CSSE120StartingCode/Sequences'>starting code from here</a> and setting up a PyCharm project</li><li>Briefly review <a target='_blank' href='assets/pdf/RangeExpressions.pdf'>this document about Python's range expression</a> (clicking the link will open a pdf in a new tab) that you saw in a previous video unit.  It is a reminder about one way to make a List of numbers.</li><li>After reviewing that document, close that tab, and click Next Page below</li></ul>"
4,Sequences,2,Sequences,yes,Questions,https://github.com/CSSE120StartingCode/Sequences,kCZMydx1OfM,"<ul><li>There are three types of sequences that we will study in this course</li><li style='margin-left: 30px;'><b>Lists</b> - Collection of objects that can be addressed by the list name + an index (other languages call them arrays)</li><li style='margin-left: 30px;'><b>Tuples</b> - Similar to a List, but this collection of objects cannot be changed.  Tuples are immutable.</li><li style='margin-left: 30px;'><b>Strings</b> - A very specific collection of objects that holds characters.  String are very common in your code, but they are a collection just like a List or Tuple. Just like a List individual characters can be address by the name of the string + an index</li></ul>"
4,Sequences,3,Last Item in a Sequence,yes,Questions,https://github.com/CSSE120StartingCode/Sequences,Z_ieQp5xRzY,"<ul><li>Learn to be careful about indexing the last item in a sequence (and not beyond)</li></ul>"
