unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives
1,Introduction to Python,1,The Flipped Classroom,yes,Questions,https://github.com/csse120-201830/IntroductionToPython,rtDYAN-lShY,"<ul><li>Learn how this <em>flipped</em> class will work, and how it may be different from your other classes</li><li style='margin-left: 30px;'><b>In Class</b> - Exercises where you write code, asking questions as they come up</li><li style='margin-left: 30px;'><b>Out of class</b> - Watch videos and listen to the instructor (like you do <em>in class</em> for most of your other courses)</li><li><b><em>Watch this video NOW</em></b> and THEN (contrary to what the video says) press <em>Next Page</em> to see and answer the quiz questions.</li></ul>"
1,Introduction to Python,2,What is Software Engineering?,yes,Questions,https://github.com/csse120-201830/IntroductionToPython,BAvF-YAOoqQ,"<ul><li>We'd love for you all to become Software Engineers, it's pretty great, but let's talk more about what that means.</li></ul>"
1,Introduction to Python,3,m1e Comments Strings and print,yes,Questions,https://github.com/csse120-201830/IntroductionToPython,G84xslBEeFA,"<ul><li>Learn how to <em>print</em> (i.e., display) output on the screen.</li><li>We will use <em>PyCharm</em> with <em>Git</em> as our Integrated Development Environment (IDE). This video uses a different IDE (Eclipse with SVN), so some things in the video will look different than they will in PyCharm. In this video, <b><em>focus only on the code itself.</em></b></li></ul>"
1,Introduction to Python,4,m2 Hello world,yes,Questions,https://github.com/csse120-201830/IntroductionToPython,4wBA_rq3PwI,"<ul><li>Learn how the in-class exercises work.</li><li><em>Hello World</em> is a classic first programming exercise.</li><li>This video shows the very same exercise that you will do in-class in Session 1!</li><li>We will use <em>PyCharm</em> with <em>Git</em> as our Integrated Development Environment (IDE). This video uses a different IDE (Eclipse with SVN), so some things in the video will look a bit different than they will in PyCharm.  In particular, the video says to save your work in the cloud by using SVN, but we will use Git instead.  We will show you how to use Git in Session 1 (in-class).</li></ul>"
1,Introduction to Python,5,m3 SimpleTurtles,yes,Questions,https://github.com/csse120-201830/IntroductionToPython,NVp58Wvr-kw,"<ul><li><em>Turtle Graphics</em> is a classic and fun way to start learning how to write code.</li><li>This video introduces three key concepts of <em>Object Oriented Programming (OOP):</em></li><li style='margin-left: 30px;'><em>Constructing</em> an object (so that you can make it do things)</li><li style='margin-left: 30px;'>Using <em>methods</em> to make objects do things</li><li style='margin-left: 30px;'>Using <em>instance variables</em> to make an object hold (i.e., remember) information that it can use later</li><li>This video shows the very same exercise that you will do in-class in Session 1!</li><li>Later in Session 1, you'll apply its concepts to make something cool with Turtle graphics!</li></ul>"
1,Introduction to Python,6,m4e Loopy Turtles concept,,,https://github.com/csse120-201830/IntroductionToPython,VOK6AO8Pp-s,"<ul><li>This video introduces <em>loops</em> - making things happen over and over and over ...</li><li>Once again, it is an exercise that you will DO in Session 1, with ideas that you will APPLY later in Session 1.</li></ul>"
2,Objects Functions and Methods,1,Functions: Defining them and Calling them (flow of control),yes,Questions,https://github.com/csse120-201830/ObjectsFunctionsAndMethods,ANMJaAOrIHs,"<ul><li>Note: This video refers to exercises that you will see in Session 2 (the video falsely claims that you will see them in Session 1).</li></ul>"
2,Objects Functions and Methods,2,Functions: Arguments, Parameters and Returned Values,yes,Questions,https://github.com/csse120-201830/ObjectsFunctionsAndMethods,cWeaYTMQXEE,"<ul><li>The preceding video explained how a program's flow of control changes when a function call occurs.</li><li>This video explains the flow of information that occurs during a function call.</li></ul><img src='assets/img/four_step_function_process.png' alt='four steps of calling a function'>"
2,Objects Functions and Methods,3,Coding to a Specification,yes,Questions,https://github.com/csse120-201830/ObjectsFunctionsAndMethods,y9JSDnRnyoA,"<ul><li>You will apply the ideas of this video in all subsequent exercises in this class (and beyond).</li></ul>"
2,Objects Functions and Methods,4,Object Oriented Programming,yes,Questions,https://github.com/csse120-201830/ObjectsFunctionsAndMethods,uZEhumLGhzs,"<ul><li>This video explains the concept of Object Oriented Programming, contrasting it with Procedural Programming.</li></ul>"
