unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives
1,Introduction to transistors,1,Transistors Overview,yes,Transistor Basics,https://docs.google.com/presentation/d/1YuVJqq6kR34ryHLQ57Ir2nNfc6wok4rw6FgFum4BrkY/edit?usp=sharing,RB2e1iYBDmc,<ul><li>We'll use a transistor like an electrically controlled light switch</li><li>Transistors come in two types<ul><li>Current controlled devices called BJTs</li><li>Voltage controlled devices called MOSFETs</li></ul></li></ul>
1,Introduction to transistors,2,BJTs,yes,BJT Questions,https://docs.google.com/presentation/d/1YuVJqq6kR34ryHLQ57Ir2nNfc6wok4rw6FgFum4BrkY/edit?usp=sharing,vwVfdknA8UE,<ul><li>BJTs use current to turn on and off<ul><li>1/10th of the collector current to turn on</li><li>0 mA to turn off</li></ul></li></ul>
1,Introduction to transistors,3,MOSFETs,yes,MOSFET Questions,https://docs.google.com/presentation/d/1YuVJqq6kR34ryHLQ57Ir2nNfc6wok4rw6FgFum4BrkY/edit?usp=sharing,QU5sPD0B4UU,<ul><li>MOSFETs use voltage to turn on and off<ul><li>5 volts to turn on</li><li>0 volts to turn off</li></ul></li></ul>
1,Introduction to transistors,4,Other Packages,yes,Darlington Questions,https://docs.google.com/presentation/d/1YuVJqq6kR34ryHLQ57Ir2nNfc6wok4rw6FgFum4BrkY/edit?usp=sharing,6S1szCzKWEk,<ul><li>Darlingtons (ULN2003) are a handy 7 transistor chip</li><li>H-Bridge circuits (L293 or 754410) are handy low power dual h-bridge chips</li><li>Relays are a nice mechanical solution instead of transistors</li></ul>
2,"Snubber diodes, decoupling capacitors, and H-bridge circuits",1,Snubber Diodes,yes,Snubber Questions,https://docs.google.com/presentation/d/1UTSIhNWB86RfTgqgJryL9jzhCGt60uRHRHOBZs4a4HM/edit?usp=sharing,qA0gwXVXYLE,<ul><li>Snubber diodes provide a safe path for inductive kick when turning a motor off</li></ul>
2,"Snubber diodes, decoupling capacitors, and H-bridge circuits",2,Decoupling Capacitors,yes,Decoupling capacitor Questions,https://docs.google.com/presentation/d/1UTSIhNWB86RfTgqgJryL9jzhCGt60uRHRHOBZs4a4HM/edit?usp=sharing,cT5-2HKdTJA,<ul><li>Decoupling capacitors help filter noise out of the power rail to protect control chips from high power components</li></ul>
2,"Snubber diodes, decoupling capacitors, and H-bridge circuits",3,H-Bridge Circuits,yes,H-Bridge Questions,https://docs.google.com/presentation/d/1UTSIhNWB86RfTgqgJryL9jzhCGt60uRHRHOBZs4a4HM/edit?usp=sharing,hK5hK6ZHvP8,<ul><li>Vcc1 to regulated 5 volts</li><li>Vcc2 to unregulated motor power</li><li>Pull up an enable line using a 1k resistor to regulated 5 volts</li><li>Four snubber diodes per motor</li><li>Don't forget the decoupling capacitor on Vcc2</li></ul>
2,"Snubber diodes, decoupling capacitors, and H-bridge circuits",4,Practice Problem,,,https://docs.google.com/presentation/d/1UTSIhNWB86RfTgqgJryL9jzhCGt60uRHRHOBZs4a4HM/edit?usp=sharing,taLwot8W9VE,<ul><li>Practice problem from an old exam (we always ask something like this on exam one)</li><li><h2 style='color: blue;'>Don't worry if some of the PIC stuff is new.  Just go with it. Exam 1 isn't for awhile. :)  You'll learn the PIC pin stuff by then.</h2></li></ul>
3,Motors,1,Brushed DC Motors,yes,DC Motor Questions,https://docs.google.com/presentation/d/1Gf3zokN5ibAf3_-ekW3uEfAcksxzaHalhG49MBLJEaw/edit?usp=sharing,BD-TJBw8AbI,"<ul><li>Gearhead brushed DC motors spin continuously when powered.</li><li>The electromagnet spins and brushes make connections to change the polarity of the electromagnet as it spins</li><li>PWM is used to control the speed of the motor, but no feedback is available (without external sensors)</li></ul>"
3,Motors,2,Stepper Motors,yes,Stepper Questions,https://docs.google.com/presentation/d/1Gf3zokN5ibAf3_-ekW3uEfAcksxzaHalhG49MBLJEaw/edit?usp=sharing,pXFzm3TZaHg,"<ul><li>Stepper motors take one step at a time then stop</li><li>More complex control is needed to make a stepper motor appear to spin continuously</li><li>Full relative position control, but less torque than a gearhead DC motor for similar prices.</li></ul>"
3,Motors,3,Servo Motors,yes,Servo Questions,https://docs.google.com/presentation/d/1Gf3zokN5ibAf3_-ekW3uEfAcksxzaHalhG49MBLJEaw/edit?usp=sharing,vjmiNwl0hFY,"<ul><li>Gearhead DC motor with a built in H-Bridge and feedback circuitry (cool)</li><li>Power, ground, and a signal line connected straight to the microcontroller</li><li>50 Hz signal (20mS between rising edges) where the high time sets the position anywhere from 0 to 180 (and everywhere in between)</li></ul>"
