unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives
1,Introduction to MPLABx,1,Downloading the tools,yes,Tools Questions,https://docs.google.com/presentation/d/1u_WP-FBdWKHZ4xtQieiGxGOODNkPe_QvRdkaZ2rzdDY/edit?usp=sharing,N1IuUtshnuc,"<ul><li>Install the MPLABx program from <a href='http://www.microchip.com/mplabx/' target='_blank'>www.microchip.com/mplabx/</a></li><li>Install the MPLAB C18 Compiler from the <a href='http://www.microchip.com/c18' target='_blank'>www.microchip.com/c18</a></li><li style='margin-left: 30px;'>Use the Standard-Eval Version (the LITE mode version also works)</li></ul>"
1,Introduction to MPLABx,2,Hello World program,yes,Hello World Questions,https://docs.google.com/presentation/d/1u_WP-FBdWKHZ4xtQieiGxGOODNkPe_QvRdkaZ2rzdDY/edit?usp=sharing,yRDlk7ppoh4,"<ul><li>Programs start with the main function</li><li><b>printf</b> is a function that is made available by the <b>stdio</b> library (it's a standard C library)</li><li>On a real PIC printf uses serial communication (UART), but on the simulator it is just displayed to the screen</li><li>All our programs have a <b>setup</b> area for doing thing once and a <b>loop</b> area that loops forever</li></ul><h1 style='color: red;'>NEW BUG</h1>In the video below, at around time=7:10, the UART1 window will magically open.  However, in the latest version of MPLABx (the version you have) the UART1 window will <b>NOT</b> magically open (unless they fix this new bug someday).  The UART1 window is now <b>disabled by default</b> and you must manually enable it. (ugh).  When you get to that part in the video (7:10) and your UART1 window does not open, here are the steps to fix it:<ul><li>Right click the HelloWorld project folder on the left.</li><li>Select <b>Set Configuration</b> --> <b>Customize</b></li><li>In the window that pops up choose <b>Simulator</b> on the left, then <b>Uart1 IO Options</b> in the dropdown</li><li>Check the box to <b>Enable Uart1 IO</b> (the default output of <b>Window</b> is already correct)</li><li>Here is a screenshot with the correct setting:</li></ul><img style='margin-left: 80px;' width=80% src='assets/img/enable_uart1_in_simulator.png' alt='LCD code'>"
1,Introduction to MPLABx,3,Static LED program,yes,Static LED Questions,https://docs.google.com/presentation/d/1u_WP-FBdWKHZ4xtQieiGxGOODNkPe_QvRdkaZ2rzdDY/edit?usp=sharing,zXchkeHC8Jg,"<ul><li>The templates provide the boilerplate code that will either not change or change little between programs (saves a <b>TON</b> of typing)</li><li>MPLABx has a cool feature that makes it easy to use our templates</li><li>The 8 LEDs are on <b>PORTC</b> so setting that variable actually changes the electrical signal sent to the physical LEDs</li></ul>"
1,Introduction to MPLABx,4,Using the Debugger,yes,Debugger Questions,https://docs.google.com/presentation/d/1u_WP-FBdWKHZ4xtQieiGxGOODNkPe_QvRdkaZ2rzdDY/edit?usp=sharing,McBZZsLaZlE,"<ul><li>We'll mainly use the PICkit3 as a debugger</li><li>The debugger is a tool that helps you figure out why a program isn't working as expected</li><li>Clicking the debug button does three things automagically<ul><li><b>Compiles</b> your human readable C code into machine language (1's and 0's) using the C18 compiler</li><li><b>Downloads</b> the machine code onto the PIC flash memory using a mechanism that can be debugged</li><li>Automatically presses the Play button to <b>start debugging</b></li></ul></li><li>Note, the debugger does not program the PIC for production.  It is just in a temporary development tool</li></ul>"
1,Introduction to MPLABx,5,Using the Programmer,yes,Programmer Questions,https://docs.google.com/presentation/d/1u_WP-FBdWKHZ4xtQieiGxGOODNkPe_QvRdkaZ2rzdDY/edit?usp=sharing,DrP--4fcBN8,"<ul><li>The programmer is easy to use and is as easy as clicking a different button</li><li>A <b>programmer</b> is used when shipping products, not a debugger</li><li>The programmer can be handy when doing <b>lab checkoffs</b></li></ul>"
2,Introduction to C,1,Variable scope,yes,Variable Scope Questions,https://docs.google.com/presentation/d/1AOYHmZkrjOMfNm2qzvQdM6BgaujYVFZuVmGQ8ViuXZo/edit?usp=sharing,zizgCyBUbno,"<ul><li>Comments can use // or /* ... */</li><li>Statements that begin with a <b>#</b> don't end with a semicolon<br>(They are <b>preprocessor directives</b>, not typical C language statements)</li><li>Variables can be <b>global</b> or <b>local</b> in scope</li></ul>"
2,Introduction to C,2,If and Switch,yes,If and Switch Questions,https://docs.google.com/presentation/d/1AOYHmZkrjOMfNm2qzvQdM6BgaujYVFZuVmGQ8ViuXZo/edit?usp=sharing,j5EaFKxcYwU,"<ul><li>if statements use <b>==</b> not <b>=</b> in the condition statement</li><li>You can have multiple conditions in an <b>if</b></li><li><b>if, else if,</b> and <b>else</b> provide a lot of flexibility</li><li>The <b>switch</b> statement is similar to a series of <b>else if</b> statements</li></ul>"
2,Introduction to C,3,Loops,yes,Loop Questions,https://docs.google.com/presentation/d/1AOYHmZkrjOMfNm2qzvQdM6BgaujYVFZuVmGQ8ViuXZo/edit?usp=sharing,XRYCF2m8sfA,"<ul><li><b>for</b> loops are handy when looping a fixed number of times.</li><li><b>while</b> loops can be very flexible, but we mainly just use the infinite <b>while</b> loop</li></ul>"
3,Number systems,1,Positive Binary,yes,Binary Questions,https://docs.google.com/presentation/d/1fasKhW-Jujraa2FQ0eaHtbRL2T5SIWVy2_CaaYKXLtc/edit?usp=sharing,C7rV4K6WqRQ,"<ul><li>The <b>rules</b> for a base 2 system work just like the <b>rules</b> for base 10 </li><li>Counting in binary 0b0000, 0b0001, 0b0010, 0b0011, 0b0100, ...</li></ul>"
3,Number systems,2,Positive Hex,yes,Hexadecimal Questions,https://docs.google.com/presentation/d/1fasKhW-Jujraa2FQ0eaHtbRL2T5SIWVy2_CaaYKXLtc/edit?usp=sharing,adwpz-1jo_M,"<ul><li>The <b>rules</b> for a base 16 system work just like the <b>rules</b> for base 10 or 2</li><li>Counting in hex 0x00, 0x01, ... 0x09, 0x0A, ... 0x0F, 0x10, ...</li></ul>"
