unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives
1,Introduction to PLCs and Ladder Logic,1,Introduction to PLCs,yes,Introduction to PLC Questions,https://docs.google.com/presentation/d/1syomU5CeCu-3K-XzJzurQmo_V-J73Z1j4eYZ2rbNm-E/edit?usp=sharing,MiPnOBj88ys,"<ul><li>PLCs are used for software control so that sensor inputs + control code can be used to drive outputs (similar to a PIC)</li><li>PLCs are used primarily to drive assembly lines all over the world</li><li>PLCs (in general) are simpler, more focused devices that do big power jobs using a graphical programming language.</li></ul>"
1,Introduction to PLCs and Ladder Logic,2,Installing PicoSoft,,,https://docs.google.com/presentation/d/1syomU5CeCu-3K-XzJzurQmo_V-J73Z1j4eYZ2rbNm-E/edit?usp=sharing,WRDVPKYb4OU,"<ul><li style='font-size: 18px;'>Here are the <a target='_blank' href='https://docs.google.com/document/d/1x_W956oo7l-BEWK6sDQBue8E0xnyvND4S6O085ueM5c/edit?usp=sharing'>new instuctions for installing Picosoft v6.2</a></li><li>Regretfully the download process has more steps now. The video only shows the <b>last</b> step, the link above shows <b>all</b> the steps.</li></ul>"
1,Introduction to PLCs and Ladder Logic,3,PicoSoft Overview,yes,PicoSoft Overview Questions,https://docs.google.com/presentation/d/1syomU5CeCu-3K-XzJzurQmo_V-J73Z1j4eYZ2rbNm-E/edit?usp=sharing,Ly1EoMaQueo,"<ul><li>There are four tabs in PicoSoft<ul><li><b>Project</b> - Where you pick your PLC type</li><li><b>Circuit Diagram</b> - Where you write your Ladder Logic</li><li><b>Simulation</b> - Where you test your program</li><li><b>Communication</b> - Where you download your ladder logic to a real device (lab only)</li></ul></li></ul>"
1,Introduction to PLCs and Ladder Logic,4,Inputs to PLCs,yes,Inputs to PLCs Questions,https://docs.google.com/presentation/d/1syomU5CeCu-3K-XzJzurQmo_V-J73Z1j4eYZ2rbNm-E/edit?usp=sharing,2CmE0v-MxLc,"<ul><li>Switch Type (NO or NC) + Stimulus State (present or not present) = State (Made or Broken)</li><li><b>Made = conducts electricity =</b><ul><li>A Normally <b>Open</b> switch that is <b>pressed</b> (stimulus present)</li><li>A Normally <b>Closed</b> switch that is <b>unpressed</b> (no stimulus present)</li></ul></li><li><b>Broken = Does not conduct electricity = </b><ul><li>A Normally <b>Open</b> switch that is <b>unpressed</b> (no stimulus present)</li><li>A Normally <b>Closed</b> switch that is <b>pressed</b> (stimulus present)</li></ul></li></ul>"
1,Introduction to PLCs and Ladder Logic,5,Logic Circuits with Ladder Logic,yes,Logic Circuits with Ladder Logic Questions,https://docs.google.com/presentation/d/1syomU5CeCu-3K-XzJzurQmo_V-J73Z1j4eYZ2rbNm-E/edit?usp=sharing,VhEGuf6Jdd0,"<ul><li><b>AND</b> and <b>OR</b> are easy to make and understand with Ladder Logic</li><li><b>NOT</b> is done by making the input gate a <b>Break</b><ul><li><b>Make</b> gates allow current to flow through the rung when the switch is <b>Made</b></li><li><b>Break</b> gates allow current to flow through the rung when the switch is <b>Broken</b></li></ul></li><li>A Normally Open switch being used with a Make gate is the easiest combo.  All others require thought. :)</li></ul>"
1,Introduction to PLCs and Ladder Logic,6,Ladder Logic Practice,,,https://docs.google.com/presentation/d/1syomU5CeCu-3K-XzJzurQmo_V-J73Z1j4eYZ2rbNm-E/edit?usp=sharing,sk2T3tp9_C4,"<ul><li>Make gates allow current to pass when the input is Made</li><li>Break gates allow current to pass when the input is Broken</li><li>Question #1 is straight forward because the problem statement tells you the state (Broken)</li><li>Questions #2 and #3 are more complex because the problem statement gives you a stimulus state, which requires you to think about the switch type (N.O. or N.C.)</li></ul>"
2,PicoSoft Markers Timers and Counters,1,Markers,yes,Marker Questions,https://docs.google.com/presentation/d/1-fmLUyWiMU3unJMVyWy1gXeanYU7fbtNvXtgyNbY30U/edit?usp=sharing,eXMmkHWWjRk,"<ul><li>Markers are one bit variables that let you keep track of the current state.</li><li>Markers and Outputs have four types<ul><li><b>Contactor</b> - Turns the marker <b>on/off</b> to match the rung state.<br>- Continuously sets the marker to match the rung state.</li><li><b>Set</b> - Turns the marker <b>on</b> when the rung is active.<br>- No impact on the marker when the rung is not active.</li><li><b>Reset</b> - Turns the marker <b>off</b> when the rung is active.<br>- No impact on the marker when the rung is not active.</li><li><b>Impulse Relay</b> - <b>Toggles</b> the state of the marker at the moment the rung becomes active.<br>- Only affects the marker at the moment the rung goes active.</li></ul></li></ul>"
2,PicoSoft Markers Timers and Counters,2,Timers,yes,Timer Questions,https://docs.google.com/presentation/d/1-fmLUyWiMU3unJMVyWy1gXeanYU7fbtNvXtgyNbY30U/edit?usp=sharing,xHfoYMhn094,"<ul><li>Timers are similar to a Marker Contactors, but there is a time difference between when the controlling rung is active and the Timer is Made.</li><li>There are two types of Timers<ul><li><b>On-Delay Timers</b> - Timers that don't come on right away.</li><li><b>Off-Delay Timers</b> - Timers that stay on for extra 'bonus time'.</li></ul></li><li><b>On-Delay</b> Timers are useful when you are in a state and want to take an action at the end of a time interval.</li><li><b>Off-Delay</b> Timers are useful if you simply want to keep something on for a bit longer (bonus time).</li></ul>"
2,PicoSoft Markers Timers and Counters,3,Counters,yes,Counter Questions,https://docs.google.com/presentation/d/1-fmLUyWiMU3unJMVyWy1gXeanYU7fbtNvXtgyNbY30U/edit?usp=sharing,zCmbHcs8i_g,"<ul><li>Counters increment their count at the moment their controlling rung becomes active.</li><li>When a counter reaches the setpoint (or more) it becomes Made.</li><li>A <b>Counter Reset</b> relay resets the count to 0.</li><li>A <b>Counter Direction</b> relay lets you change from counting up to counting down.</li><li>Overall Counters are pretty easy to use and understand.  You'll like them.</li></ul>"
2,PicoSoft Markers Timers and Counters,4,PicoSoft Practice,,,https://docs.google.com/presentation/d/1-fmLUyWiMU3unJMVyWy1gXeanYU7fbtNvXtgyNbY30U/edit?usp=sharing,MpjUibFobrY,"<ul><li>There are always multiple ways to solve a problem</li><li>We'll solve this one using Off-Delay Timers which works out to be pretty straight forward.</li></ul>"
