unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives
1,Ionic Favorite Things,1,Overview and Setup,,,https://docs.google.com/document/d/1uANa0WVHW0QDlbmx3qd52FzNmOJhk4uwOpbaXwJG0co/edit?usp=sharing,P3szLxpgRQE,"<ul><li>Ionic Favorite Things follow along <a target='_blank' href='https://docs.google.com/document/d/1uANa0WVHW0QDlbmx3qd52FzNmOJhk4uwOpbaXwJG0co/edit?usp=sharing'>description doc</a> (live <a target='_blank' href='https://fisherds-ionic-favorite-things.firebaseapp.com/'>example</a> which you should view as if on a mobile device)</li></ul>"
1,Ionic Favorite Things,2,Ionic grid and buttons,,,https://docs.google.com/document/d/1uANa0WVHW0QDlbmx3qd52FzNmOJhk4uwOpbaXwJG0co/edit?usp=sharing,_SsrDXg86xo,"<ul><li>Ionic Favorite Things follow along <a target='_blank' href='https://docs.google.com/document/d/1uANa0WVHW0QDlbmx3qd52FzNmOJhk4uwOpbaXwJG0co/edit?usp=sharing'>description doc</a> (live <a target='_blank' href='https://fisherds-ionic-favorite-things.firebaseapp.com/'>example</a> which you should view as if on a mobile device)</li></ul>"
1,Ionic Favorite Things,3,Favorite Color in Firebase,,,https://docs.google.com/document/d/1uANa0WVHW0QDlbmx3qd52FzNmOJhk4uwOpbaXwJG0co/edit?usp=sharing,ssxSVk90IQE,"<ul><li>Ionic Favorite Things follow along <a target='_blank' href='https://docs.google.com/document/d/1uANa0WVHW0QDlbmx3qd52FzNmOJhk4uwOpbaXwJG0co/edit?usp=sharing'>description doc</a> (live <a target='_blank' href='https://fisherds-ionic-favorite-things.firebaseapp.com/'>example</a> which you should view as if on a mobile device)</li></ul>"
1,Ionic Favorite Things,4,Favorite Number,,,https://docs.google.com/document/d/1uANa0WVHW0QDlbmx3qd52FzNmOJhk4uwOpbaXwJG0co/edit?usp=sharing,ZksfXGGFIdE,"<ul><li>Ionic Favorite Things follow along <a target='_blank' href='https://docs.google.com/document/d/1uANa0WVHW0QDlbmx3qd52FzNmOJhk4uwOpbaXwJG0co/edit?usp=sharing'>description doc</a> (live <a target='_blank' href='https://fisherds-ionic-favorite-things.firebaseapp.com/'>example</a> which you should view as if on a mobile device)</li></ul>"
1,Ionic Favorite Things,5,Deploying to iOS Android and the web,,,https://docs.google.com/document/d/1uANa0WVHW0QDlbmx3qd52FzNmOJhk4uwOpbaXwJG0co/edit?usp=sharing,ZjjPWCx2tIw,"<ul><li>Ionic Favorite Things follow along <a target='_blank' href='https://docs.google.com/document/d/1uANa0WVHW0QDlbmx3qd52FzNmOJhk4uwOpbaXwJG0co/edit?usp=sharing'>description doc</a> (live <a target='_blank' href='https://fisherds-ionic-favorite-things.firebaseapp.com/'>example</a> which you should view as if on a mobile device)</li></ul>"
2,Ionic Movie Quotes,1,Overview and Setup,,,https://docs.google.com/document/d/1mjHMIvqX0y7LXt3_DufgUUzIb8WjkHlyw3FvP5YMY-Q/edit?usp=sharing,v95Tlq-ofKk,"<ul><li>Ionic Movie Quotes follow along <a target='_blank' href='https://docs.google.com/document/d/1mjHMIvqX0y7LXt3_DufgUUzIb8WjkHlyw3FvP5YMY-Q/edit?usp=sharing'>description doc</a> (live <a target='_blank' href='https://fisherds-ionic-movie-quotes.firebaseapp.com/'>example</a> which you should view as if on a mobile device)</li></ul>"
2,Ionic Movie Quotes,2,Pushing Placeholder Pages,,,https://docs.google.com/document/d/1mjHMIvqX0y7LXt3_DufgUUzIb8WjkHlyw3FvP5YMY-Q/edit?usp=sharing,E65RVLlVmok,"<ul><li>Ionic Movie Quotes follow along <a target='_blank' href='https://docs.google.com/document/d/1mjHMIvqX0y7LXt3_DufgUUzIb8WjkHlyw3FvP5YMY-Q/edit?usp=sharing'>description doc</a> (live <a target='_blank' href='https://fisherds-ionic-movie-quotes.firebaseapp.com/'>example</a> which you should view as if on a mobile device)</li></ul>"
2,Ionic Movie Quotes,3,Firebase Read,,,https://docs.google.com/document/d/1mjHMIvqX0y7LXt3_DufgUUzIb8WjkHlyw3FvP5YMY-Q/edit?usp=sharing,6uxczngNW_Q,"<ul><li>Ionic Movie Quotes follow along <a target='_blank' href='https://docs.google.com/document/d/1mjHMIvqX0y7LXt3_DufgUUzIb8WjkHlyw3FvP5YMY-Q/edit?usp=sharing'>description doc</a> (live <a target='_blank' href='https://fisherds-ionic-movie-quotes.firebaseapp.com/'>example</a> which you should view as if on a mobile device)</li></ul>"
2,Ionic Movie Quotes,4,Create Dialog,,,https://docs.google.com/document/d/1mjHMIvqX0y7LXt3_DufgUUzIb8WjkHlyw3FvP5YMY-Q/edit?usp=sharing,u5aZcD4wyCA,"<ul><li>Ionic Movie Quotes follow along <a target='_blank' href='https://docs.google.com/document/d/1mjHMIvqX0y7LXt3_DufgUUzIb8WjkHlyw3FvP5YMY-Q/edit?usp=sharing'>description doc</a> (live <a target='_blank' href='https://fisherds-ionic-movie-quotes.firebaseapp.com/'>example</a> which you should view as if on a mobile device)</li></ul>"
2,Ionic Movie Quotes,5,Delete,,,https://docs.google.com/document/d/1mjHMIvqX0y7LXt3_DufgUUzIb8WjkHlyw3FvP5YMY-Q/edit?usp=sharing,PeOexmEZod0,"<ul><li>Ionic Movie Quotes follow along <a target='_blank' href='https://docs.google.com/document/d/1mjHMIvqX0y7LXt3_DufgUUzIb8WjkHlyw3FvP5YMY-Q/edit?usp=sharing'>description doc</a> (live <a target='_blank' href='https://fisherds-ionic-movie-quotes.firebaseapp.com/'>example</a> which you should view as if on a mobile device)</li></ul>"
