unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives
1,Introduction to Android,1,Introduction,,,https://docs.google.com/presentation/d/1RivoehwTZWHcHub1Cq0u-dz85Ewr3QfVipBBJAIAz2k,JGf6UFw5tgA,"<ul><li>In this lesson, you'll learn why mobile is popular and what you can do with Android.</li></ul>"
1,Introduction to Android,2,Syllabus,,,https://docs.google.com/presentation/d/1RivoehwTZWHcHub1Cq0u-dz85Ewr3QfVipBBJAIAz2k,null,"<ul><li>Read the syllabus now. Make sure you understand the flow of each weekly unit:<p><a href='https://docs.google.com/document/d/1Ws565NQUOmVSbWc5SG00Pw6ogrFundILgQsgFLaWanA' target='_blank'>Syllabus</a></p></li></ul>"
1,Introduction to Android,3,Installation,,,https://docs.google.com/presentation/d/1RivoehwTZWHcHub1Cq0u-dz85Ewr3QfVipBBJAIAz2k,null,"<ul> <li>Installation: Follow the instructions at Google's website to install the SDK:<p>  <a href='http://developer.android.com/sdk/index.html' target='_blank'>http://developer.android.com/sdk/index.html</a></p> You can just choose the 'Download the SDK' option if you are installing on Windows. For other platforms, follow the links on thatsite.  </li>  <li>HelloWorld: Go to <a href='http://developer.android.com/training/index.html' target='_blank'>http://developer.android.com/training/index.html</a>Under Get started &gt; Building Your First App, do Creating an Android Project and Running Your Application. You can run it on theemulator or a real device. Show me. (You should have done this in our face to face meeting. If not, then send me a video of therunning app.)  </li></ul>"
1,Introduction to Android,4,Coffee Counter,yes,Questions,https://docs.google.com/presentation/d/1RivoehwTZWHcHub1Cq0u-dz85Ewr3QfVipBBJAIAz2k,sWNHugqmuG0,"<ul><li>In this lesson, you'll see the development of a simple app that one could create 'out of the box' with no experience in Android. Don't worry if you don't absorb every detail. I just want to warm you up so that we can start off strong in the next unit.</li></ul>"
1,Introduction to Android,5,Lab: GettingStarted,,,https://docs.google.com/presentation/d/1RivoehwTZWHcHub1Cq0u-dz85Ewr3QfVipBBJAIAz2k,null,"<ul><li>There is no lab for this unit. To finish the unit, please complete the 'Introduction' self-evaluation survey in Moodle.</li></ul>"
2,Buttons and MVC,1,New Android Project,yes,Questions,https://docs.google.com/presentation/d/1YUc3sQH5oQYxUjlp9pia70SNpeLtQvBaVzPqkYO28c0,wIQjVZRSWC0,"<ul><li>In this lesson, you'll learn about the files that are created in a vanilla Hello World project. You will also be introduced to 3 apps that we will write in this unit: Hello Button, Tic Tac Toe (both together in the videos), and LightsOut (the lab)</li></ul>"
2,Buttons and MVC,2,Hello Button View,yes,Questions,https://docs.google.com/presentation/d/1YUc3sQH5oQYxUjlp9pia70SNpeLtQvBaVzPqkYO28c0,dF9Wct370Ug,"<ul><li>In this lesson, you'll learn about making UIs from a specification, including layouts and string and color resources.</li></ul>"
2,Buttons and MVC,3,Hello Button Controller,yes,Questions,https://docs.google.com/presentation/d/1YUc3sQH5oQYxUjlp9pia70SNpeLtQvBaVzPqkYO28c0,nEfkl0a5UV8,"<ul><li>This lesson teaches you how to use button's onClickListeners, and you'll learn how to grab views from the layout, and strings and colors from your resource files.</li></ul>"
2,Buttons and MVC,4,MVC and Tic Tac Toe Model,yes,Questions,https://docs.google.com/presentation/d/1YUc3sQH5oQYxUjlp9pia70SNpeLtQvBaVzPqkYO28c0,3FdbXHdr7RU,"<ul><li>This lesson is about the Model-View-Controller design pattern and how Android supports it. We look briefly at a model for a TicTacToe game.</li></ul>"
2,Buttons and MVC,5,TicTacToe View,yes,Questions,https://docs.google.com/presentation/d/1YUc3sQH5oQYxUjlp9pia70SNpeLtQvBaVzPqkYO28c0,clxcO3ravzs,"<ul><li>More practice creating UIs to specification. Introducing TableLayouts.</li></ul>"
