unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives
1,Introduction to transistors,1,Transistors Overview,yes,Transistor Basics,https://docs.google.com/presentation/d/1YuVJqq6kR34ryHLQ57Ir2nNfc6wok4rw6FgFum4BrkY/edit?usp=sharing,RB2e1iYBDmc,<ul><li>We'll use a transistor like an electrically controlled light switch</li><li>Transistors come in two types<ul><li>Current controlled devices called BJTs</li><li>Voltage controlled devices called MOSFETs</li></ul></li></ul>
1,Introduction to transistors,2,BJTs,yes,BJT Questions,https://docs.google.com/presentation/d/1YuVJqq6kR34ryHLQ57Ir2nNfc6wok4rw6FgFum4BrkY/edit?usp=sharing,vwVfdknA8UE,<ul><li>BJTs use current to turn on and off<ul><li>1/10th of the collector current to turn on</li><li>0 mA to turn off</li></ul></li></ul>
1,Introduction to transistors,3,MOSFETs,yes,MOSFET Questions,https://docs.google.com/presentation/d/1YuVJqq6kR34ryHLQ57Ir2nNfc6wok4rw6FgFum4BrkY/edit?usp=sharing,QU5sPD0B4UU,<ul><li>MOSFETs use voltage to turn on and off<ul><li>5 volts to turn on</li><li>0 volts to turn off</li></ul></li></ul>
1,Introduction to transistors,4,Other Packages,yes,Darlington Questions,https://docs.google.com/presentation/d/1YuVJqq6kR34ryHLQ57Ir2nNfc6wok4rw6FgFum4BrkY/edit?usp=sharing,6S1szCzKWEk,<ul><li>Darlingtons (ULN2003) are a handy 7 transistor chip</li><li>H-Bridge circuits (L293 or 754410) are handy low power dual h-bridge chips</li><li>Relays are a nice mechanical solution instead of transistors</li></ul>
2,"Snubber diodes, decoupling capacitors, and H-bridge circuits",1,Snubber Diodes,yes,Snubber Questions,https://docs.google.com/presentation/d/1UTSIhNWB86RfTgqgJryL9jzhCGt60uRHRHOBZs4a4HM/edit?usp=sharing,qA0gwXVXYLE,<ul><li>Snubber diodes provide a safe path for inductive kick when turning a motor off</li></ul>
2,"Snubber diodes, decoupling capacitors, and H-bridge circuits",2,Decoupling Capacitors,yes,Decoupling capacitor Questions,https://docs.google.com/presentation/d/1UTSIhNWB86RfTgqgJryL9jzhCGt60uRHRHOBZs4a4HM/edit?usp=sharing,cT5-2HKdTJA,<ul><li>Decoupling capacitors help filter noise out of the power rail to protect control chips from high power components</li></ul>
2,"Snubber diodes, decoupling capacitors, and H-bridge circuits",3,H-Bridge Circuits,yes,H-Bridge Questions,https://docs.google.com/presentation/d/1UTSIhNWB86RfTgqgJryL9jzhCGt60uRHRHOBZs4a4HM/edit?usp=sharing,hK5hK6ZHvP8,<ul><li>Vcc1 to regulated 5 volts</li><li>Vcc2 to unregulated motor power</li><li>Pull up an enable line using a 1k resistor to regulated 5 volts</li><li>Four snubber diodes per motor</li><li>Don't forget the decoupling capacitor on Vcc2</li></ul>
2,"Snubber diodes, decoupling capacitors, and H-bridge circuits",4,Practice Problem,,,https://docs.google.com/presentation/d/1UTSIhNWB86RfTgqgJryL9jzhCGt60uRHRHOBZs4a4HM/edit?usp=sharing,taLwot8W9VE,<ul><li>Practice problem from an old exam (we always ask something like this on exam one)</li><li><h2 style='color: blue;'>Don't worry if some of the PIC stuff is new.  Just go with it. Exam 1 isn't for awhile. :)  You'll learn the PIC pin stuff by then.</h2></li></ul>
3,Motors,1,Brushed DC Motors,yes,DC Motor Questions,https://docs.google.com/presentation/d/1Gf3zokN5ibAf3_-ekW3uEfAcksxzaHalhG49MBLJEaw/edit?usp=sharing,BD-TJBw8AbI,"<ul><li>Gearhead brushed DC motors spin continuously when powered.</li><li>The electromagnet spins and brushes make connections to change the polarity of the electromagnet as it spins</li><li>PWM is used to control the speed of the motor, but no feedback is available (without external sensors)</li></ul>"
3,Motors,2,Stepper Motors,yes,Stepper Questions,https://docs.google.com/presentation/d/1Gf3zokN5ibAf3_-ekW3uEfAcksxzaHalhG49MBLJEaw/edit?usp=sharing,pXFzm3TZaHg,"<ul><li>Stepper motors take one step at a time then stop</li><li>More complex control is needed to make a stepper motor appear to spin continuously</li><li>Full relative position control, but less torque than a gearhead DC motor for similar prices.</li></ul>"
3,Motors,3,Servo Motors,yes,Servo Questions,https://docs.google.com/presentation/d/1Gf3zokN5ibAf3_-ekW3uEfAcksxzaHalhG49MBLJEaw/edit?usp=sharing,vjmiNwl0hFY,"<ul><li>Gearhead DC motor with a built in H-Bridge and feedback circuitry (cool)</li><li>Power, ground, and a signal line connected straight to the microcontroller</li><li>50 Hz signal (20mS between rising edges) where the high time sets the position anywhere from 0 to 180 (and everywhere in between)</li></ul>"
4,Introduction to MPLABx,1,Downloading the tools,yes,Tools Questions,https://docs.google.com/presentation/d/1u_WP-FBdWKHZ4xtQieiGxGOODNkPe_QvRdkaZ2rzdDY/edit?usp=sharing,UZnU0lqpgyE,"<ul><li>Install the MPLABx program from <a href='http://www.microchip.com/mplabx/' target='_blank'>www.microchip.com/mplabx/</a></li><li>Install the MPLAB C18 Compiler from the <a href='http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1406&dDocName=en536656' target='_blank'>Academic MPLAB C18 Compiler</a> page<ul><li>Note: Must register with <b>.edu</b> email address to download the compiler</li></ul></li></ul>"
4,Introduction to MPLABx,2,Hello World program,yes,Hello World Questions,https://docs.google.com/presentation/d/1u_WP-FBdWKHZ4xtQieiGxGOODNkPe_QvRdkaZ2rzdDY/edit?usp=sharing,yRDlk7ppoh4,"<ul><li>Programs start with the main function</li><li><b>printf</b> is a function that is made available by the <b>stdio</b> library (it's a standard C library)</li><li>On a real PIC printf uses serial communication (UART), but on the simulator it is just displayed to the screen</li><li>All our programs have a <b>setup</b> area for doing thing once and a <b>loop</b> area that loops forever</li></ul>"
4,Introduction to MPLABx,3,Static LED program,yes,Static LED Questions,https://docs.google.com/presentation/d/1u_WP-FBdWKHZ4xtQieiGxGOODNkPe_QvRdkaZ2rzdDY/edit?usp=sharing,zXchkeHC8Jg,"<ul><li>The templates provide the boilerplate code that will either not change or change little between programs (saves a <b>TON</b> of typing)</li><li>MPLABx has a cool feature that makes it easy to use our templates</li><li>The 8 LEDs are on <b>PORTC</b> so setting that variable actually changes the electrical signal sent to the physical LEDs</li></ul>"
4,Introduction to MPLABx,4,Using the Debugger,yes,Debugger Questions,https://docs.google.com/presentation/d/1u_WP-FBdWKHZ4xtQieiGxGOODNkPe_QvRdkaZ2rzdDY/edit?usp=sharing,McBZZsLaZlE,"<ul><li>We'll mainly use the PICkit3 as a debugger</li><li>The debugger is a tool that helps you figure out why a program isn't working as expected</li><li>Clicking the debug button does three things automagically<ul><li><b>Compiles</b> your human readable C code into machine language (1's and 0's) using the C18 compiler</li><li><b>Downloads</b> the machine code onto the PIC flash memory using a mechanism that can be debugged</li><li>Automatically presses the Play button to <b>start debugging</b></li></ul></li><li>Note, the debugger does not program the PIC for production.  It is just in a temporary development tool</li></ul>"
4,Introduction to MPLABx,5,Using the Programmer,yes,Programmer Questions,https://docs.google.com/presentation/d/1u_WP-FBdWKHZ4xtQieiGxGOODNkPe_QvRdkaZ2rzdDY/edit?usp=sharing,DrP--4fcBN8,"<ul><li>The programmer is easy to use and is as easy as clicking a different button</li><li>A <b>programmer</b> is used when shipping products, not a debugger</li><li>The programmer can be handy when doing <b>lab checkoffs</b></li></ul>"
5,Introduction to C,1,Variable scope,yes,Variable Scope Questions,https://docs.google.com/presentation/d/1AOYHmZkrjOMfNm2qzvQdM6BgaujYVFZuVmGQ8ViuXZo/edit?usp=sharing,zizgCyBUbno,"<ul><li>Comments can use // or /* ... */</li><li>Statements that begin with a <b>#</b> don't end with a semicolon<br>(They are <b>preprocessor directives</b>, not typical C language statements)</li><li>Variables can be <b>global</b> or <b>local</b> in scope</li></ul>"
5,Introduction to C,2,If and Switch,yes,If and Switch Questions,https://docs.google.com/presentation/d/1AOYHmZkrjOMfNm2qzvQdM6BgaujYVFZuVmGQ8ViuXZo/edit?usp=sharing,j5EaFKxcYwU,"<ul><li>if statements use <b>==</b> not <b>=</b> in the condition statement</li><li>You can have multiple conditions in an <b>if</b></li><li><b>if, else if,</b> and <b>else</b> provide a lot of flexibility</li><li>The <b>switch</b> statement is similar to a series of <b>else if</b> statements</li></ul>"
5,Introduction to C,3,Loops,yes,Loop Questions,https://docs.google.com/presentation/d/1AOYHmZkrjOMfNm2qzvQdM6BgaujYVFZuVmGQ8ViuXZo/edit?usp=sharing,XRYCF2m8sfA,"<ul><li><b>for</b> loops are handy when looping a fixed number of times.</li><li><b>while</b> loops can be very flexible, but we mainly just use the infinite <b>while</b> loop</li></ul>"
6,Number systems,1,Positive Binary,yes,Binary Questions,https://docs.google.com/presentation/d/1fasKhW-Jujraa2FQ0eaHtbRL2T5SIWVy2_CaaYKXLtc/edit?usp=sharing,C7rV4K6WqRQ,"<ul><li>The <b>rules</b> for a base 2 system work just like the <b>rules</b> for base 10 </li><li>Counting in binary 0b0000, 0b0001, 0b0010, 0b0011, 0b0100, ...</li></ul>"
6,Number systems,2,Positive Hex,yes,Hexadecimal Questions,https://docs.google.com/presentation/d/1fasKhW-Jujraa2FQ0eaHtbRL2T5SIWVy2_CaaYKXLtc/edit?usp=sharing,adwpz-1jo_M,"<ul><li>The <b>rules</b> for a base 16 system work just like the <b>rules</b> for base 10 or 2</li><li>Counting in hex 0x00, 0x01, ... 0x09, 0x0A, ... 0x0F, 0x10, ...</li></ul>"
6,Number systems,3,Negative Binary,yes,"2's Compliment Questions",https://docs.google.com/presentation/d/1fasKhW-Jujraa2FQ0eaHtbRL2T5SIWVy2_CaaYKXLtc/edit?usp=sharing,seEuNpqd3_0,"<ul><li>Negative numbers are stored in a mechanism that allows addition to work quickly</li><li>Counting down in binary 0b0000, 0b1111, 0b1110, 0b1101, 0b1100, ...</li></ul>"
6,Number systems,4,Negative Hex,yes,Negative Hex Questions,https://docs.google.com/presentation/d/1fasKhW-Jujraa2FQ0eaHtbRL2T5SIWVy2_CaaYKXLtc/edit?usp=sharing,cJeApRe_TxY,"<ul><li>Negative hex is just a shorter form of negative binary</li><li>When converting negative numbers to or from Hex go via binary</li><li>Counting down in hex 0x00, 0xFF, 0xFE, 0xFD, 0xFC, ...</li></ul>"
6,Number systems,5,Overflow,yes,Overflow Questions,https://docs.google.com/presentation/d/1fasKhW-Jujraa2FQ0eaHtbRL2T5SIWVy2_CaaYKXLtc/edit?usp=sharing,w2bQCRJZxjo,"<ul><li>Only <b>YOU</b> can prevent overflow issues.</li><li>If you understand how the system works you can better avoid the pitfalls.</li></ul>"
7,Variable types and operations,1,Integer Types,yes,Integer Type Questions,https://docs.google.com/presentation/d/1hvNW8FQaRUGpL8QbB-UpOTPn60H3KJD9KdXx6CjwQQw/edit?usp=sharing,0wfopNjukqQ,"<ul><li>Internally floats and ints are totally different 1.0 is not 1</li><li>char is 8 bits, int is 16 bits, long is 32 bits</li><li>Each integer range has limitations</li></ul>"
7,Variable types and operations,2,Floats,yes,Float Questions,https://docs.google.com/presentation/d/1hvNW8FQaRUGpL8QbB-UpOTPn60H3KJD9KdXx6CjwQQw/edit?usp=sharing,xhhKKGHj4aw,"<ul><li>Floats are <b>approximations</b></li><li>Approximations can cause little errors</li><li>Floats are slow (ie operations with floats take longer, like multiple milliseconds)</li></ul>"
7,Variable types and operations,3,Arrays and ASCII,yes,Array and ASCII Questions,https://docs.google.com/presentation/d/1hvNW8FQaRUGpL8QbB-UpOTPn60H3KJD9KdXx6CjwQQw/edit?usp=sharing,oEGJimUhyo4,"<ul><li>Arrays are chunks of repeated variable types accessed by index</li><li>Arrays can be int's, char's, long's, even an array of float's</li><li>Characters are stored using ASCII, which is similar to a number systems</li><li>Character arrays that end with the null character ( <b>\0</b> ) are considered strings.</li></ul>"
